table_title,table_url,table_code,csv_file
Average minimum travel time to reach the nearest key services by mode of travel: England,https://assets.publishing.service.gov.uk/government/uploads/system/uploads/attachment_data/file/1030768/jts0101.ods,jts0101,JTS0101.csv
"Average minimum travel time to reach the nearest key services by mode of travel, rural and urban areas: England",https://assets.publishing.service.gov.uk/government/uploads/system/uploads/attachment_data/file/1030769/jts0102.ods,jts0102,2014.csv
"Average minimum travel time to reach the nearest key services by mode of travel, rural and urban areas: England",https://assets.publishing.service.gov.uk/government/uploads/system/uploads/attachment_data/file/1030769/jts0102.ods,jts0102,2015.csv
"Average minimum travel time to reach the nearest key services by mode of travel, rural and urban areas: England",https://assets.publishing.service.gov.uk/government/uploads/system/uploads/attachment_data/file/1030769/jts0102.ods,jts0102,2016.csv
"Average minimum travel time to reach the nearest key services by mode of travel, rural and urban areas: England",https://assets.publishing.service.gov.uk/government/uploads/system/uploads/attachment_data/file/1030769/jts0102.ods,jts0102,2017.csv
"Average minimum travel time to reach the nearest key services by mode of travel, rural and urban areas: England",https://assets.publishing.service.gov.uk/government/uploads/system/uploads/attachment_data/file/1030769/jts0102.ods,jts0102,2019.csv
"Average minimum travel time to reach the nearest key services by public transport or walking, region: England",https://assets.publishing.service.gov.uk/government/uploads/system/uploads/attachment_data/file/1030770/jts0103.ods,jts0103,2014.csv
"Average minimum travel time to reach the nearest key services by public transport or walking, region: England",https://assets.publishing.service.gov.uk/government/uploads/system/uploads/attachment_data/file/1030770/jts0103.ods,jts0103,2015.csv
"Average minimum travel time to reach the nearest key services by public transport or walking, region: England",https://assets.publishing.service.gov.uk/government/uploads/system/uploads/attachment_data/file/1030770/jts0103.ods,jts0103,2016.csv
"Average minimum travel time to reach the nearest key services by public transport or walking, region: England",https://assets.publishing.service.gov.uk/government/uploads/system/uploads/attachment_data/file/1030770/jts0103.ods,jts0103,2017.csv
"Average minimum travel time to reach the nearest key services by public transport or walking, region: England",https://assets.publishing.service.gov.uk/government/uploads/system/uploads/attachment_data/file/1030770/jts0103.ods,jts0103,2019.csv
"Average minimum travel time to reach the nearest key services by public transport or walking, region: England",https://assets.publishing.service.gov.uk/government/uploads/system/uploads/attachment_data/file/1030770/jts0103.ods,jts0103,Chart_Data.csv
"Average minimum travel time to reach the nearest key services by mode of travel, local authority: England",https://assets.publishing.service.gov.uk/government/uploads/system/uploads/attachment_data/file/1030771/jts0104.ods,jts0104,2014.csv
"Average minimum travel time to reach the nearest key services by mode of travel, local authority: England",https://assets.publishing.service.gov.uk/government/uploads/system/uploads/attachment_data/file/1030771/jts0104.ods,jts0104,2015.csv
"Average minimum travel time to reach the nearest key services by mode of travel, local authority: England",https://assets.publishing.service.gov.uk/government/uploads/system/uploads/attachment_data/file/1030771/jts0104.ods,jts0104,2016.csv
"Average minimum travel time to reach the nearest key services by mode of travel, local authority: England",https://assets.publishing.service.gov.uk/government/uploads/system/uploads/attachment_data/file/1030771/jts0104.ods,jts0104,2017.csv
"Average minimum travel time to reach the nearest key services by mode of travel, local authority: England",https://assets.publishing.service.gov.uk/government/uploads/system/uploads/attachment_data/file/1030771/jts0104.ods,jts0104,2019.csv
Service users with access to key services within selected journey times by mode of travel: England,https://assets.publishing.service.gov.uk/government/uploads/system/uploads/attachment_data/file/1030772/jts0201.ods,jts0201,2014.csv
Service users with access to key services within selected journey times by mode of travel: England,https://assets.publishing.service.gov.uk/government/uploads/system/uploads/attachment_data/file/1030772/jts0201.ods,jts0201,2015_REVISED.csv
Service users with access to key services within selected journey times by mode of travel: England,https://assets.publishing.service.gov.uk/government/uploads/system/uploads/attachment_data/file/1030772/jts0201.ods,jts0201,2016.csv
Service users with access to key services within selected journey times by mode of travel: England,https://assets.publishing.service.gov.uk/government/uploads/system/uploads/attachment_data/file/1030772/jts0201.ods,jts0201,2017.csv
Service users with access to key services within selected journey times by mode of travel: England,https://assets.publishing.service.gov.uk/government/uploads/system/uploads/attachment_data/file/1030772/jts0201.ods,jts0201,2019.csv
"Service users with access to key services within selected journey times by mode of travel, rural and urban areas: England ",https://assets.publishing.service.gov.uk/government/uploads/system/uploads/attachment_data/file/1030773/jts0202.ods,jts0202,2014.csv
"Service users with access to key services within selected journey times by mode of travel, rural and urban areas: England ",https://assets.publishing.service.gov.uk/government/uploads/system/uploads/attachment_data/file/1030773/jts0202.ods,jts0202,2015_REVISED.csv
"Service users with access to key services within selected journey times by mode of travel, rural and urban areas: England ",https://assets.publishing.service.gov.uk/government/uploads/system/uploads/attachment_data/file/1030773/jts0202.ods,jts0202,2016.csv
"Service users with access to key services within selected journey times by mode of travel, rural and urban areas: England ",https://assets.publishing.service.gov.uk/government/uploads/system/uploads/attachment_data/file/1030773/jts0202.ods,jts0202,2017.csv
"Service users with access to key services within selected journey times by mode of travel, rural and urban areas: England ",https://assets.publishing.service.gov.uk/government/uploads/system/uploads/attachment_data/file/1030773/jts0202.ods,jts0202,2019.csv
"Service users with access to key services within selected journey times by public transport or walking, in regions: England",https://assets.publishing.service.gov.uk/government/uploads/system/uploads/attachment_data/file/1030774/jts0203.ods,jts0203,2014.csv
"Service users with access to key services within selected journey times by public transport or walking, in regions: England",https://assets.publishing.service.gov.uk/government/uploads/system/uploads/attachment_data/file/1030774/jts0203.ods,jts0203,2015_REVISED.csv
"Service users with access to key services within selected journey times by public transport or walking, in regions: England",https://assets.publishing.service.gov.uk/government/uploads/system/uploads/attachment_data/file/1030774/jts0203.ods,jts0203,2016.csv
"Service users with access to key services within selected journey times by public transport or walking, in regions: England",https://assets.publishing.service.gov.uk/government/uploads/system/uploads/attachment_data/file/1030774/jts0203.ods,jts0203,2017.csv
"Service users with access to key services within selected journey times by public transport or walking, in regions: England",https://assets.publishing.service.gov.uk/government/uploads/system/uploads/attachment_data/file/1030774/jts0203.ods,jts0203,2019.csv
"Service users with access to key services within selected journey times by cycle, in regions: England",https://assets.publishing.service.gov.uk/government/uploads/system/uploads/attachment_data/file/1030775/jts0204.ods,jts0204,2014.csv
"Service users with access to key services within selected journey times by cycle, in regions: England",https://assets.publishing.service.gov.uk/government/uploads/system/uploads/attachment_data/file/1030775/jts0204.ods,jts0204,2015_REVISED.csv
"Service users with access to key services within selected journey times by cycle, in regions: England",https://assets.publishing.service.gov.uk/government/uploads/system/uploads/attachment_data/file/1030775/jts0204.ods,jts0204,2016.csv
"Service users with access to key services within selected journey times by cycle, in regions: England",https://assets.publishing.service.gov.uk/government/uploads/system/uploads/attachment_data/file/1030775/jts0204.ods,jts0204,2017.csv
"Service users with access to key services within selected journey times by cycle, in regions: England",https://assets.publishing.service.gov.uk/government/uploads/system/uploads/attachment_data/file/1030775/jts0204.ods,jts0204,2019.csv
"Service users with access to key services within selected journey times by car, in regions: England",https://assets.publishing.service.gov.uk/government/uploads/system/uploads/attachment_data/file/1030776/jts0205.ods,jts0205,2014.csv
"Service users with access to key services within selected journey times by car, in regions: England",https://assets.publishing.service.gov.uk/government/uploads/system/uploads/attachment_data/file/1030776/jts0205.ods,jts0205,2015_REVISED.csv
"Service users with access to key services within selected journey times by car, in regions: England",https://assets.publishing.service.gov.uk/government/uploads/system/uploads/attachment_data/file/1030776/jts0205.ods,jts0205,2016.csv
"Service users with access to key services within selected journey times by car, in regions: England",https://assets.publishing.service.gov.uk/government/uploads/system/uploads/attachment_data/file/1030776/jts0205.ods,jts0205,2017.csv
"Service users with access to key services within selected journey times by car, in regions: England",https://assets.publishing.service.gov.uk/government/uploads/system/uploads/attachment_data/file/1030776/jts0205.ods,jts0205,2019.csv
"Service users with access to key services within selected journey times by walking, regions: England",https://assets.publishing.service.gov.uk/government/uploads/system/uploads/attachment_data/file/1030777/jts0206.ods,jts0206,2019.csv
"Number of sites available within selected journey times by key services, mode of travel: England ",https://assets.publishing.service.gov.uk/government/uploads/system/uploads/attachment_data/file/1030779/jts0301.ods,jts0301,2014.csv
"Number of sites available within selected journey times by key services, mode of travel: England ",https://assets.publishing.service.gov.uk/government/uploads/system/uploads/attachment_data/file/1030779/jts0301.ods,jts0301,2015.csv
"Number of sites available within selected journey times by key services, mode of travel: England ",https://assets.publishing.service.gov.uk/government/uploads/system/uploads/attachment_data/file/1030779/jts0301.ods,jts0301,2016.csv
"Number of sites available within selected journey times by key services, mode of travel: England ",https://assets.publishing.service.gov.uk/government/uploads/system/uploads/attachment_data/file/1030779/jts0301.ods,jts0301,2017.csv
"Number of sites available within selected journey times by key services, mode of travel: England ",https://assets.publishing.service.gov.uk/government/uploads/system/uploads/attachment_data/file/1030779/jts0301.ods,jts0301,2019.csv
"Number of sites available within selected journey times by key services, mode of travel, rural and urban areas: England",https://assets.publishing.service.gov.uk/government/uploads/system/uploads/attachment_data/file/1030780/jts0302.ods,jts0302,2014.csv
"Number of sites available within selected journey times by key services, mode of travel, rural and urban areas: England",https://assets.publishing.service.gov.uk/government/uploads/system/uploads/attachment_data/file/1030780/jts0302.ods,jts0302,2015.csv
"Number of sites available within selected journey times by key services, mode of travel, rural and urban areas: England",https://assets.publishing.service.gov.uk/government/uploads/system/uploads/attachment_data/file/1030780/jts0302.ods,jts0302,2016.csv
"Number of sites available within selected journey times by key services, mode of travel, rural and urban areas: England",https://assets.publishing.service.gov.uk/government/uploads/system/uploads/attachment_data/file/1030780/jts0302.ods,jts0302,2017.csv
"Number of sites available within selected journey times by key services, mode of travel, rural and urban areas: England",https://assets.publishing.service.gov.uk/government/uploads/system/uploads/attachment_data/file/1030780/jts0302.ods,jts0302,2019.csv
"Number of sites available within selected journey times by key services, public transport or walking, in regions: England",https://assets.publishing.service.gov.uk/government/uploads/system/uploads/attachment_data/file/1030781/jts0303.ods,jts0303,2014.csv
